,state,year,bacode,births_nhblack,births_nhwhite,births_hisp,births_total,births_otherraceeth,dobbscodev1,dobbscodev2,dobbscodev3,dobbscode_sensitivity,dobbscode_sensitivity_tx,deaths_nhblack,deaths_nhwhite,deaths_hisp,deaths_otherraceeth,deaths_con,deaths_noncon,deaths_neo,deaths_total,policy_on,exposed_infdeaths,time,deaths_nonneo,births_con,births_noncon,births_neo,births_nonneo,partial_ban,quarter,exposure_code,births_other
18,Alabama,2012,1,8579,17143,1909,28207,576,1.0,1,1,1.0,,139.0,120.0,,0.0,48.0,218.0,162.0,266.0,,0.0,2012-01-01,104.0,28207,28207,28207,28207,0,2012-Q1,0.0,576
19,Alabama,2012,2,9517,18019,2016,30241,689,1.0,1,1,1.0,,124.0,118.0,13.0,,49.0,208.0,178.0,257.0,,0.0,2012-07-01,79.0,30241,30241,30241,30241,0,2012-Q3,0.0,689
20,Alabama,2013,1,8493,16767,1907,27700,533,1.0,1,1,1.0,,103.0,128.0,12.0,,34.0,212.0,168.0,246.0,,0.0,2013-01-01,78.0,27700,27700,27700,27700,0,2013-Q1,0.0,533
21,Alabama,2013,2,9413,18319,2095,30467,640,1.0,1,1,1.0,,124.0,115.0,15.0,0.0,44.0,211.0,154.0,255.0,,0.0,2013-07-01,101.0,30467,30467,30467,30467,0,2013-Q3,0.0,640
22,Alabama,2014,1,8528,17413,1916,28445,588,1.0,1,1,1.0,,117.0,101.0,17.0,,50.0,187.0,135.0,237.0,,0.0,2014-01-01,102.0,28445,28445,28445,28445,0,2014-Q1,0.0,588
23,Alabama,2014,2,9702,18516,2103,30977,656,1.0,1,1,1.0,,150.0,113.0,10.0,,45.0,234.0,171.0,279.0,,0.0,2014-07-01,108.0,30977,30977,30977,30977,0,2014-Q3,0.0,656
24,Alabama,2015,1,8663,17333,2088,28680,596,1.0,1,1,1.0,,124.0,80.0,,,37.0,178.0,122.0,215.0,,0.0,2015-01-01,93.0,28680,28680,28680,28680,0,2015-Q1,0.0,596
25,Alabama,2015,2,9598,18493,2207,30977,679,1.0,1,1,1.0,,154.0,105.0,18.0,,49.0,231.0,179.0,280.0,,0.0,2015-07-01,101.0,30977,30977,30977,30977,0,2015-Q3,0.0,679
26,Alabama,2016,1,8428,17186,2192,28724,918,1.0,1,1,1.0,,138.0,121.0,14.0,,38.0,241.0,162.0,279.0,0.0,0.0,2016-01-01,117.0,28724,28724,28724,28724,0,2016-Q1,0.0,918
27,Alabama,2016,2,9267,17713,2388,30427,1059,1.0,1,1,1.0,,131.0,105.0,19.0,,54.0,204.0,162.0,258.0,0.0,0.0,2016-07-01,96.0,30427,30427,30427,30427,0,2016-Q3,0.0,1059
28,Alabama,2017,1,8396,16663,2184,28212,969,1.0,1,1,1.0,,106.0,103.0,11.0,,46.0,179.0,123.0,225.0,0.0,0.0,2017-01-01,102.0,28212,28212,28212,28212,0,2017-Q1,0.0,969
29,Alabama,2017,2,9567,17714,2362,30729,1086,1.0,1,1,1.0,,99.0,93.0,11.0,,45.0,198.0,133.0,209.0,0.0,0.0,2017-07-01,76.0,30729,30729,30729,30729,0,2017-Q3,0.0,1086
30,Alabama,2018,1,8447,16394,2139,27951,971,1.0,1,1,1.0,,97.0,84.0,,,34.0,165.0,120.0,199.0,0.0,0.0,2018-01-01,79.0,27951,27951,27951,27951,0,2018-Q1,0.0,971
31,Alabama,2018,2,9150,17382,2264,29810,1014,1.0,1,1,1.0,,99.0,98.0,,,47.0,159.0,132.0,206.0,0.0,0.0,2018-07-01,74.0,29810,29810,29810,29810,0,2018-Q3,0.0,1014
32,Alabama,2019,1,8503,16069,2204,27778,1002,1.0,1,1,1.0,,106.0,84.0,20.0,,35.0,179.0,103.0,214.0,0.0,0.0,2019-01-01,111.0,27778,27778,27778,27778,0,2019-Q1,0.0,1002
33,Alabama,2019,2,9694,17325,2706,30837,1112,1.0,1,1,1.0,,115.0,102.0,16.0,0.0,54.0,181.0,140.0,235.0,0.0,0.0,2019-07-01,95.0,30837,30837,30837,30837,0,2019-Q3,0.0,1112
34,Alabama,2020,1,8648,15986,2481,28055,940,1.0,1,1,1.0,,106.0,72.0,18.0,,29.0,172.0,117.0,201.0,0.0,0.0,2020-01-01,84.0,28055,28055,28055,28055,0,2020-Q1,0.0,940
35,Alabama,2020,2,9098,16686,2752,29592,1056,1.0,1,1,1.0,,91.0,87.0,20.0,,35.0,168.0,107.0,203.0,0.0,0.0,2020-07-01,96.0,29592,29592,29592,29592,0,2020-Q3,0.0,1056
36,Alabama,2021,1,7840,16237,2574,27655,1004,1.0,1,1,1.0,,90.0,93.0,17.0,12.0,30.0,183.0,108.0,213.0,0.0,0.0,2021-01-01,105.0,27655,27655,27655,27655,0,2021-Q1,0.0,1004
37,Alabama,2021,2,8671,17538,3074,30399,1116,1.0,1,1,1.0,,101.0,102.0,13.0,12.0,39.0,192.0,124.0,231.0,0.0,0.0,2021-07-01,107.0,30399,30399,30399,30399,0,2021-Q3,0.0,1116
38,Alabama,2022,1,7695,16123,2897,27750,1035,1.0,1,1,1.0,,103.0,65.0,12.0,,22.0,162.0,104.0,184.0,1.0,0.0,2022-01-01,80.0,27750,27750,27750,27750,0,2022-Q1,0.0,1035
39,Alabama,2022,2,8372,17602,3334,30399,1091,1.0,1,1,1.0,,98.0,79.0,16.0,,49.0,153.0,100.0,202.0,1.0,0.0,2022-07-01,102.0,30399,30399,30399,30399,0,2022-Q3,0.0,1091
40,Alabama,2023,1,7667,16233,3223,28154,1031,1.0,1,1,1.0,,99.0,93.0,17.0,10.0,45.0,180.0,140.0,225.0,1.0,1.0,2023-01-01,85.0,28154,28154,28154,28154,0,2023-Q1,1.0,1031
41,Alabama,2023,2,7876,16997,3667,29704,1164,1.0,1,1,1.0,,101.0,85.0,19.0,,49.0,171.0,140.0,220.0,1.0,1.0,2023-07-01,80.0,29704,29704,29704,29704,0,2023-Q3,1.0,1164
60,Alaska,2012,1,186,2789,351,5484,2158,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2012-01-01,,5484,5484,5484,5484,0,2012-Q1,0.0,2158
61,Alaska,2012,2,175,2983,371,5703,2174,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2012-07-01,,5703,5703,5703,5703,0,2012-Q3,0.0,2174
62,Alaska,2013,1,217,3223,412,5637,1785,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2013-01-01,,5637,5637,5637,5637,0,2013-Q1,0.0,1785
63,Alaska,2013,2,229,3399,436,5809,1745,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2013-07-01,,5809,5809,5809,5809,0,2013-Q3,0.0,1745
64,Alaska,2014,1,209,3254,409,5639,1767,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2014-01-01,,5639,5639,5639,5639,0,2014-Q1,0.0,1767
65,Alaska,2014,2,237,3287,432,5753,1797,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2014-07-01,,5753,5753,5753,5753,0,2014-Q3,0.0,1797
66,Alaska,2015,1,190,3297,377,5586,1722,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2015-01-01,,5586,5586,5586,5586,0,2015-Q1,0.0,1722
67,Alaska,2015,2,233,3246,433,5696,1784,0.0,0,0,0.0,0.0,,,,,,,,,,0.0,2015-07-01,,5696,5696,5696,5696,0,2015-Q3,0.0,1784
68,Alaska,2016,1,139,2984,395,5592,2074,0.0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,2016-01-01,,5592,5592,5592,5592,0,2016-Q1,0.0,2074
69,Alaska,2016,2,180,2803,416,5617,2218,0.0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,2016-07-01,,5617,5617,5617,5617,0,2016-Q3,0.0,2218
